generation,num_eval,local_i,time,f_sur,f_IC,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
5,23,100,1.8650100231170648,-580.9648992583211,0.0,-0.4949226677417755,-1.7713522911071775,-2.247796058654785,0.320363312959671,1.0584602355957031,2.857628107070923,1.5400514602661133,-0.1415182054042816,0.323077917098999,2.322727918624878
5,23,200,1.844066381454468,-538.4758946271025,0.0,0.4196661710739136,-3.267906904220581,-0.9774146676063538,0.5783202648162842,0.8343258500099182,2.446863889694214,1.0012065172195437,-0.3985266089439392,0.0666273385286331,1.7570469379425049
5,23,300,1.842071533203125,-600.9619650565141,0.0,0.0663080289959907,-2.921639919281006,-1.5773134231567385,1.1115608215332031,0.7644758224487305,2.9488091468811035,0.8868511319160461,-0.0916541591286659,-0.0219055172055959,1.5386725664138794
5,23,400,1.8709940910339355,-648.4272270514131,0.0,-0.0728162303566932,-3.5258421897888184,-1.367423176765442,1.0955184698104858,0.5778603553771973,2.552020788192749,0.9746441841125488,-0.0910823568701744,-0.3229866623878479,2.099541187286377
5,23,500,1.8570311069488523,-736.7362367283824,0.0,-0.7225512266159058,-2.4033761024475098,-2.4034390449523926,1.2197245359420776,1.3477728366851809,2.9944756031036377,1.583696961402893,0.244149848818779,-0.0268835946917533,2.458667755126953
5,23,600,1.8360826969146729,-653.6490317330106,0.0,-0.3896487653255462,-1.984727382659912,-2.37024450302124,0.4397429227828979,1.024604082107544,2.715749740600586,1.2314457893371582,-0.097539022564888,0.3817709386348724,2.84293794631958
5,23,700,1.887948751449585,-597.8390623066217,0.0,0.2320784926414489,-3.0050692558288574,-1.4666472673416138,0.3936770856380462,0.9003332257270813,2.516476631164551,1.0947879552841189,-0.3125154376029968,0.173989251255989,2.2931957244873047
5,23,800,1.97671127319336,-550.2469909503095,0.0,0.364779382944107,-3.026538848876953,-1.217610001564026,0.6366835236549377,0.8751488924026489,2.6158711910247803,0.9466832280158995,-0.3188488483428955,0.1855499297380447,1.7565758228302002
5,23,900,2.004636764526367,-594.5726904675444,0.0,0.1085109859704971,-2.6813836097717285,-1.6922270059585571,0.4490906894207001,0.9799030423164368,2.653806686401367,1.084597110748291,-0.2211887836456298,0.2958277463912964,2.2761242389678955
6,26,0,1.8919386863708496,-524.5087732049267,0.0,0.4606322944164276,-2.892372369766236,-1.1867917776107788,0.3095323741436004,0.8246400356292725,2.450569868087769,0.9325106143951416,-0.4424307644367218,0.3198931515216827,1.965399384498596
6,26,100,1.8530428409576416,-668.9997889495748,0.0,-0.2871256470680237,-3.214384794235229,-1.7005542516708374,1.140339493751526,0.9470195770263672,2.7481443881988525,1.2134716510772705,-0.0367268398404121,-0.2000414431095123,2.0818774700164795
6,26,200,1.8390789031982424,-655.4422086744271,0.0,0.0077476613223552,-3.3652985095977783,-1.424202561378479,1.1252481937408447,0.7804572582244873,2.7885758876800537,1.0028574466705322,-0.1032733991742134,-0.1645495295524597,1.8473775386810305
6,26,300,1.8430683612823489,-715.9968923355713,0.0,-0.5337432026863098,-3.0847532749176025,-1.933902382850647,1.1318320035934448,1.1014697551727295,2.7221336364746094,1.4549750089645386,0.0999241396784782,-0.227017804980278,2.500916004180908
6,26,400,1.862018346786499,-632.0426644391023,0.0,-0.1304720938205719,-3.061392545700073,-1.632338285446167,1.10943865776062,0.9909595847129822,2.80750060081482,1.177871823310852,-0.0342886596918106,-0.0972214415669441,1.903442621231079
6,26,500,1.8330953121185305,-583.1825625982992,0.0,0.2047039717435836,-3.157261610031128,-1.3357912302017212,0.5769445300102234,0.930583655834198,2.522998571395874,1.1587588787078855,-0.2710283994674682,0.0768851190805435,2.028766393661499
